subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
Harsh,1,15,0.113077879,0.183204651,0.070126772,0.065405846,0.090739727,0.025333881,0.095316648,0.128746033,0.033429384,0.105236769,0.265132427,0.159895659,0.090673923,0.483252764,0.39257884,0.120942831,0.571385622,0.450442791,0.117082119,0.11286664,-0.004215479,0.124260426,0.072127819,-0.052132607,0.125295162,0.088676691,-0.036618471,0.128210068,0.232213736,0.104003668,0.132258654
Harsh,1,16,0.108378172,0.178112268,0.069734097,0.075610638,0.09458828,0.018977642,0.103453159,0.104977608,0.001524448,0.08924365,0.176290512,0.087046862,0.066869974,0.364243746,0.297373772,0.110219479,0.141968966,0.031749487,0.101151228,0.253917217,0.152765989,0.118066311,0.199946165,0.081879854,0.150465965,0.129534006,-0.020931959,0.127116442,0.171481848,0.044365406,0.151574135
Harsh,1,17,0.089506626,0.120244741,0.030738115,0.082165241,0.164422274,0.082257032,0.095970631,0.077143192,-0.018827438,0.09206295,0.194650173,0.102587223,0.08305788,0.223970413,0.140912533,0.103806019,0.114770889,0.01096487,0.112941027,0.127639055,0.014698029,0.119799614,0.079354525,-0.040445089,0.089459658,0.044201612,-0.045258045,0.124566793,0.171433449,0.046866655,0.114132881
Harsh,1,18,0.100638151,0.102349043,0.001710892,0.07870388,0.148295641,0.069591761,0.103336573,0.056480646,-0.046855927,0.095033646,0.196531773,0.101498127,0.105432987,0.252376318,0.146943331,0.1061728,0.117012024,0.010839224,0.110858917,0.113312244,0.002453327,0.128952265,0.102449894,-0.026502371,0.124504089,0.073315859,-0.051188231,0.142705679,0.184767962,0.042062283,0.134359837
Harsh,1,19,0.089230299,0.087967157,-0.001263142,0.072087765,0.138649702,0.066561937,0.085010529,0.053023577,-0.031986952,0.081132174,0.16335392,0.082221746,0.086337805,0.270825625,0.18448782,0.108566999,0.826057196,0.717490196,0.089118242,0.091008902,0.001890659,0.128855228,0.141654491,0.012799263,0.121201515,0.079091787,-0.042109728,0.116185904,0.175611019,0.059425116,0.133698463
Harsh,1,20,0.089600801,0.106833458,0.017232656,0.071453571,0.145473957,0.074020386,0.10785079,0.063077927,-0.044772863,0.069681644,0.195999622,0.126317978,0.105109453,0.260144949,0.155035496,0.135234594,0.757419586,0.622184992,0.082748413,0.092526913,0.0097785,0.118093967,0.078758955,-0.039335012,0.116807461,0.07621336,-0.040594101,0.121539354,0.150573492,0.029034138,0.127583027
Harsh,1,21,0.100420475,0.09919858,-0.001221895,0.080814362,0.140212059,0.059397697,0.102710486,0.073723078,-0.028987408,0.072618961,0.151431084,0.078812122,0.085502148,0.20055604,0.115053892,0.141219139,0.728300095,0.587080956,0.095952034,0.09165287,-0.004299164,0.093384027,0.079173088,-0.014210939,0.110358477,0.07361722,-0.036741257,-3.011205912,0.123672247,-0.021674871,0.115863085
Harsh,1,22,0.095738411,0.119618893,0.023880482,0.075604439,0.115767241,0.040162802,0.087481022,0.086299896,-0.001181126,0.088701725,0.171746731,0.083045006,0.096275568,0.258815527,0.162539959,0.086777687,0.15521574,0.068438053,0.136506319,0.117651224,-0.018855095,0.099077702,0.100379944,0.001302242,0.094931841,0.01789093,-0.077040911,0.193640471,0.582270384,0.388629913,0.135895968
Harsh,1,23,0.089412212,0.151638985,0.062226772,0.07920289,0.125420332,0.046217442,0.096932173,0.074878931,-0.022053242,0.095223188,0.194580793,0.099357605,0.080147743,0.260102987,0.179955244,0.111624718,0.172994137,0.061369419,0.110835075,0.100064516,-0.010770559,0.106543541,0.083093882,-0.023449659,0.091009378,0.047613621,-0.043395758,-2.846769094,0.113058329,-0.035681963,0.105766058
Harsh,1,24,0.080310106,0.099541426,0.019231319,0.078519344,0.14576292,0.067243576,0.069843054,0.055901766,-0.013941288,0.095257759,0.181302548,0.086044788,0.09241581,0.286359549,0.193943739,0.109079361,0.141320705,0.032241344,0.131704092,0.141423464,0.009719372,0.088752031,0.090210676,0.001458645,0.089301348,0.031968117,-0.057333231,-2.470578671,0.151222706,0.002274513,0.142920733
Harsh,1,25,0.099738836,0.144946337,0.0452075,0.080312967,0.094608068,0.014295101,0.080138445,0.104283094,0.02414465,0.07363677,0.165632963,0.091996193,0.093133211,0.238645554,0.145512343,0.110354424,0.120214224,0.0098598,0.124294043,0.130073309,0.005779266,0.091982841,0.068434715,-0.023548126,0.122062206,0.071984291,-0.050077915,-2.373453617,0.126475573,-0.014995813,0.115115881
Harsh,2,1,0.098021746,1.012032509,0.914010763,0.086136341,0.149996042,0.063859701,0.084831238,0.082168818,-0.00266242,0.066595793,0.243334293,0.176738501,0.121558666,0.62871933,0.507160664,0.103487492,0.149973869,0.046486378,0.097452641,0.149719954,0.052267313,0.093150139,0.042165756,-0.050984383,0.126935482,0.074012518,-0.052922964,0.139156342,0.163623095,0.024466753,0.122246027
Harsh,2,2,0.094285965,0.156662226,0.062376261,0.08977437,0.116282702,0.026508331,0.089877844,0.12946558,0.039587736,0.064844131,0.183661699,0.118817568,0.094054699,0.332431555,0.238376856,0.098414898,0.15058136,0.052166462,0.125864506,0.127106905,0.001242399,0.102332592,0.080575705,-0.021756887,0.101370335,0.042644978,-0.058725357,-2.490314722,0.113479376,-0.049542665,0.122776747
Harsh,2,3,0.070240021,0.136142254,0.065902233,0.067839146,0.079024792,0.011185646,0.073745966,0.090371847,0.016625881,0.089271784,0.167546749,0.078274965,0.107117891,0.242097378,0.134979487,0.092573643,0.118705988,0.026132345,0.101249695,0.112729073,0.011479378,0.082743406,0.064024448,-0.018718958,0.089832067,0.036449671,-0.053382397,0.109514237,0.150496244,0.040982008,0.101480007
Harsh,2,4,0.089886904,0.084037781,-0.005849123,0.08602953,0.157493115,0.071463585,0.08774066,0.056169987,-0.031570673,0.096595526,0.180291414,0.083695889,0.084303379,0.241978884,0.157675505,0.074716568,0.40525198,0.330535412,0.092828512,0.114043236,0.021214724,0.09295702,0.09425807,0.00130105,0.080254078,0.026010036,-0.054244041,0.102808952,0.189797401,0.086988449,0.053301096
Harsh,2,5,0.082422495,0.094565868,0.012143373,0.082638741,0.140094996,0.057456255,0.081793547,0.050550938,-0.031242609,0.084967613,0.163781643,0.07881403,0.080121756,0.230762243,0.150640488,0.085406303,0.104854584,0.01944828,0.08777523,0.145935059,0.058159828,0.052164078,0.042144299,-0.010019779,0.148103476,0.103213072,-0.044890404,0.103446245,0.66774869,0.564302445,0.12389636
Harsh,2,6,0.088898659,0.154596329,0.06569767,0.086808443,0.130911827,0.044103384,0.052185535,0.066545248,0.014359713,0.052586079,0.144982576,0.092396498,0.085402966,0.196943522,0.111540556,0.086201906,0.110257387,0.024055481,0.111899614,0.098389149,-0.013510466,0.089144945,0.07093811,-0.018206835,0.107210398,0.071675539,-0.035534859,0.103976727,0.158252478,0.054275751,0.087090731
Harsh,2,7,0.084732771,0.11949563,0.034762859,0.075619221,1.907119274,1.831500053,0.077606916,0.177475214,0.099868298,0.095822334,0.209677219,0.113854885,0.127019882,0.300272226,0.173252344,0.111156464,0.147356033,0.03619957,0.101583719,0.115684271,0.014100552,0.116699457,0.071650267,-0.045049191,0.092019081,0.039865017,-0.052154064,0.121503353,0.126669645,0.005166292,0.076435804
